,iteration,accuracy,subject,series
0,0,0.9832665156004881,0,accuracy
1,1,0.955508105281506,0,accuracy
2,2,0.9349398640404393,0,accuracy
3,3,0.9109726337807217,0,accuracy
4,4,0.9113212480390448,0,accuracy
5,5,0.8919295799198187,0,accuracy
6,6,0.8850008715356458,0,accuracy
7,7,0.8781157399337632,0,accuracy
8,8,0.8740630991807565,0,accuracy
9,9,0.8666986229736796,0,accuracy
10,10,0.8628638661321248,0,accuracy
11,11,0.8561966184416943,0,accuracy
12,12,0.8527976294230434,0,accuracy
13,13,0.8584190343385044,0,accuracy
14,14,0.8496165243158446,0,accuracy
15,15,0.8521875544709778,0,accuracy
16,16,0.8494857939689733,0,accuracy
17,17,0.8431235837545755,0,accuracy
18,18,0.8443001568764162,0,accuracy
19,19,0.847568415548196,0,accuracy
20,20,0.848788565452327,0,accuracy
21,21,0.8436465051420603,0,accuracy
22,22,0.844387310440997,0,accuracy
23,23,0.8414240892452501,0,accuracy
24,24,0.8391145197838592,0,accuracy
25,25,0.8437336587066411,0,accuracy
26,26,0.8368485271047585,0,accuracy
27,27,0.8452152693045145,0,accuracy
28,28,0.8380251002265993,0,accuracy
29,29,0.847568415548196,0,accuracy
30,30,0.8316628900122015,0,accuracy
31,31,0.8310092382778456,0,accuracy
32,32,0.8428621230608332,0,accuracy
33,33,0.8358898378943699,0,accuracy
34,34,0.8384608680495033,0,accuracy
35,35,0.8436465051420603,0,accuracy
36,36,0.8285689384695835,0,accuracy
37,37,0.8391145197838592,0,accuracy
38,38,0.8368485271047585,0,accuracy
39,39,0.8386351751786648,0,accuracy
40,40,0.8394631340421823,0,accuracy
41,41,0.8357155307652083,0,accuracy
42,42,0.8449538086107722,0,accuracy
43,43,0.8405089768171519,0,accuracy
44,44,0.8323165417465574,0,accuracy
45,45,0.8421213177618965,0,accuracy
46,46,0.8315757364476207,0,accuracy
47,47,0.8332316541746557,0,accuracy
48,48,0.8449538086107722,0,accuracy
49,49,0.8379815234443089,0,accuracy
50,50,0.8399860554296671,0,accuracy
51,51,0.8282203242112602,0,accuracy
52,52,0.8332752309569461,0,accuracy
53,53,0.8294840508976817,0,accuracy
54,54,0.8403782464702806,0,accuracy
55,55,0.8324036953111382,0,accuracy
56,56,0.8437336587066411,0,accuracy
57,57,0.822468188948928,0,accuracy
58,58,0.8455203067805473,0,accuracy
59,59,0.8352797629423043,0,accuracy
60,60,0.8385044448317936,0,accuracy
61,61,0.842295624891058,0,accuracy
62,62,0.8358898378943699,0,accuracy
63,63,0.826215792225902,0,accuracy
64,64,0.8488757190169078,0,accuracy
65,65,0.8363691824995643,0,accuracy
66,66,0.8184591249782116,0,accuracy
67,67,0.8372407181453722,0,accuracy
68,68,0.8436900819243507,0,accuracy
69,69,0.8419905874150253,0,accuracy
70,70,0.846696879902388,0,accuracy
71,71,0.8299633955028761,0,accuracy
72,72,0.8368921038870489,0,accuracy
73,73,0.840421823252571,0,accuracy
74,74,0.824559874498867,0,accuracy
75,75,0.8269565975248387,0,accuracy
76,76,0.8385044448317936,0,accuracy
77,77,0.8361512985881122,0,accuracy
78,78,0.8320550810528151,0,accuracy
79,79,0.8367613735401778,0,accuracy
80,80,0.8393324036953111,0,accuracy
81,81,0.8436029283597699,0,accuracy
82,82,0.8352361861600139,0,accuracy
83,83,0.8449102318284818,0,accuracy
84,84,0.8250392191040613,0,accuracy
85,85,0.8317500435767823,0,accuracy
86,86,0.8424263552379292,0,accuracy
87,87,0.8399860554296671,0,accuracy
88,88,0.8157137876939167,0,accuracy
89,89,0.8343210737319157,0,accuracy
90,90,0.845476729998257,0,accuracy
91,91,0.8429056998431236,0,accuracy
92,92,0.8380686770088897,0,accuracy
93,93,0.8397681715182151,0,accuracy
94,94,0.8256057172738365,0,accuracy
95,95,0.8296147812445529,0,accuracy
96,96,0.8227732264249608,0,accuracy
97,97,0.8320986578351055,0,accuracy
98,98,0.8411190517692173,0,accuracy
99,99,0.8410754749869269,0,accuracy
100,0,0.9392016733484401,0,smoothed accuracy
101,1,0.9313229911103366,0,smoothed accuracy
102,2,0.9247055454568093,0,smoothed accuracy
103,3,0.9188818197664286,0,smoothed accuracy
104,4,0.9139019619235762,0,smoothed accuracy
105,5,0.9091816280285865,0,smoothed accuracy
106,6,0.8971413630817502,0,smoothed accuracy
107,7,0.887210214397769,0,smoothed accuracy
108,8,0.8789959909360295,0,smoothed accuracy
109,9,0.8737406309918079,0,smoothed accuracy
110,10,0.8675701586194879,0,smoothed accuracy
111,11,0.8635959560746039,0,smoothed accuracy
112,12,0.8600444483179368,0,smoothed accuracy
113,13,0.856545232700018,0,smoothed accuracy
114,14,0.8535689384695839,0,smoothed accuracy
115,15,0.8516559177270355,0,smoothed accuracy
116,16,0.8502483876590559,0,smoothed accuracy
117,17,0.8489933763290922,0,smoothed accuracy
118,18,0.8481523444308875,0,smoothed accuracy
119,19,0.846452849921562,0,smoothed accuracy
120,20,0.8454026494683633,0,smoothed accuracy
121,21,0.8445572598919296,0,smoothed accuracy
122,22,0.843293533205508,0,smoothed accuracy
123,23,0.8435027017605019,0,smoothed accuracy
124,24,0.8428751960955202,0,smoothed accuracy
125,25,0.8428751960955202,0,smoothed accuracy
126,26,0.8411626285515077,0,smoothed accuracy
127,27,0.8398989018650862,0,smoothed accuracy
128,28,0.8397463831270698,0,smoothed accuracy
129,29,0.839192957991982,0,smoothed accuracy
130,30,0.8391275928185464,0,smoothed accuracy
131,31,0.8391188774620885,0,smoothed accuracy
132,32,0.838290918598571,0,smoothed accuracy
